qtr,area_title,own_title,total_qtrly_wages
1,"Ellis County, Kansas",Private,31343922
2,"Ellis County, Kansas",Private,35253297
1,"Ellsworth County, Kansas",Local Government,4060600
2,"Ellsworth County, Kansas",Local Government,3969177
1,"Ellsworth County, Kansas",Private,1756305
2,"Ellsworth County, Kansas",Private,1796429
1,"Finney County, Kansas",Local Government,15440754
2,"Finney County, Kansas",Local Government,17944132
1,"Finney County, Kansas",Private,25057559
2,"Finney County, Kansas",Private,23570437
1,"Ford County, Kansas",State Government,0
2,"Ford County, Kansas",State Government,0
1,"Ford County, Kansas",Local Government,13723538
2,"Ford County, Kansas",Local Government,16062844
1,"Ford County, Kansas",Private,13085171
2,"Ford County, Kansas",Private,13142485
1,"Franklin County, Kansas",Local Government,12901485
2,"Franklin County, Kansas",Local Government,14868583
1,"Franklin County, Kansas",Private,10049240
2,"Franklin County, Kansas",Private,9659910
1,"Geary County, Kansas",Federal Government,21543313
2,"Geary County, Kansas",Federal Government,18462234
1,"Geary County, Kansas",State Government,0
2,"Geary County, Kansas",State Government,0
1,"Geary County, Kansas",Local Government,0
2,"Geary County, Kansas",Local Government,0
1,"Geary County, Kansas",Private,4840684
2,"Geary County, Kansas",Private,4726681
1,"Gove County, Kansas",Local Government,2288111
2,"Gove County, Kansas",Local Government,2969789
1,"Gove County, Kansas",Private,284411
2,"Gove County, Kansas",Private,264446
1,"Graham County, Kansas",Local Government,0
2,"Graham County, Kansas",Local Government,0
1,"Graham County, Kansas",Private,512329
2,"Graham County, Kansas",Private,535225
1,"Grant County, Kansas",Local Government,0
2,"Grant County, Kansas",Local Government,0
1,"Grant County, Kansas",Private,1002614
2,"Grant County, Kansas",Private,1054845
1,"Gray County, Kansas",Local Government,5160963
2,"Gray County, Kansas",Local Government,5977577
1,"Gray County, Kansas",Private,1150330
2,"Gray County, Kansas",Private,1059756
1,"Greeley County, Kansas",Local Government,0
2,"Greeley County, Kansas",Local Government,0
1,"Greenwood County, Kansas",Local Government,1657748
2,"Greenwood County, Kansas",Local Government,2492721
1,"Greenwood County, Kansas",Private,1840718
2,"Greenwood County, Kansas",Private,2132639
1,"Hamilton County, Kansas",Local Government,1052827
2,"Hamilton County, Kansas",Local Government,1195989
1,"Hamilton County, Kansas",Private,0
2,"Hamilton County, Kansas",Private,0
1,"Harper County, Kansas",Local Government,4443275
2,"Harper County, Kansas",Local Government,4794161
1,"Harper County, Kansas",Private,722921
2,"Harper County, Kansas",Private,741771
1,"Harvey County, Kansas",Local Government,8999146
2,"Harvey County, Kansas",Local Government,11242839
1,"Harvey County, Kansas",Private,33039779
2,"Harvey County, Kansas",Private,31841445
1,"Haskell County, Kansas",Local Government,3715774
2,"Haskell County, Kansas",Local Government,3999539
1,"Haskell County, Kansas",Private,51124
2,"Haskell County, Kansas",Private,44989
1,"Hodgeman County, Kansas",Local Government,0
2,"Hodgeman County, Kansas",Local Government,0
1,"Hodgeman County, Kansas",Private,0
2,"Hodgeman County, Kansas",Private,0
1,"Jackson County, Kansas",Local Government,0
2,"Jackson County, Kansas",Local Government,6425301
1,"Jackson County, Kansas",Private,4355713
2,"Jackson County, Kansas",Private,5013662
1,"Jefferson County, Kansas",State Government,0
2,"Jefferson County, Kansas",State Government,0
1,"Jefferson County, Kansas",Local Government,0
2,"Jefferson County, Kansas",Local Government,5784105
1,"Jefferson County, Kansas",Private,2514309
2,"Jefferson County, Kansas",Private,2694198
1,"Jewell County, Kansas",Local Government,1368801
2,"Jewell County, Kansas",Local Government,1450707
1,"Jewell County, Kansas",Private,24846
2,"Jewell County, Kansas",Private,25485
1,"Johnson County, Kansas",State Government,0
2,"Johnson County, Kansas",State Government,0
1,"Johnson County, Kansas",Local Government,171914830
2,"Johnson County, Kansas",Local Government,201800471
1,"Johnson County, Kansas",Private,610787165
2,"Johnson County, Kansas",Private,641903226
1,"Kearny County, Kansas",Local Government,4512157
2,"Kearny County, Kansas",Local Government,5406610
1,"Kearny County, Kansas",Private,138301
2,"Kearny County, Kansas",Private,101652
1,"Kingman County, Kansas",Local Government,2029607
2,"Kingman County, Kansas",Local Government,2266383
1,"Kingman County, Kansas",Private,2540391
2,"Kingman County, Kansas",Private,2999497
1,"Kiowa County, Kansas",Local Government,1091754
2,"Kiowa County, Kansas",Local Government,1514279
1,"Kiowa County, Kansas",Private,1791388
2,"Kiowa County, Kansas",Private,1770209
1,"Labette County, Kansas",Federal Government,240728
2,"Labette County, Kansas",Federal Government,303540
1,"Labette County, Kansas",State Government,0
2,"Labette County, Kansas",State Government,0
1,"Labette County, Kansas",Local Government,15289907
2,"Labette County, Kansas",Local Government,17604990
1,"Labette County, Kansas",Private,6561002
2,"Labette County, Kansas",Private,6429608
1,"Lane County, Kansas",Local Government,1135487
2,"Lane County, Kansas",Local Government,1349301
1,"Leavenworth County, Kansas",Federal Government,24681957
2,"Leavenworth County, Kansas",Federal Government,27631073
1,"Leavenworth County, Kansas",Local Government,20779269
2,"Leavenworth County, Kansas",Local Government,23381860
1,"Leavenworth County, Kansas",Private,20596067
2,"Leavenworth County, Kansas",Private,21210120
1,"Lincoln County, Kansas",Local Government,2058693
2,"Lincoln County, Kansas",Local Government,2144279
1,"Lincoln County, Kansas",Private,480139
2,"Lincoln County, Kansas",Private,482381
1,"Linn County, Kansas",Local Government,3326962
2,"Linn County, Kansas",Local Government,4445648
1,"Linn County, Kansas",Private,0
2,"Linn County, Kansas",Private,0
1,"Logan County, Kansas",Local Government,2390207
2,"Logan County, Kansas",Local Government,2924738
1,"Logan County, Kansas",Private,0
2,"Logan County, Kansas",Private,0
1,"Lyon County, Kansas",State Government,0
2,"Lyon County, Kansas",State Government,0
1,"Lyon County, Kansas",Local Government,17570032
2,"Lyon County, Kansas",Local Government,21001783
1,"Lyon County, Kansas",Private,9694229
2,"Lyon County, Kansas",Private,9943568
1,"Mcpherson County, Kansas",Local Government,7673908
2,"Mcpherson County, Kansas",Local Government,9019020
1,"Mcpherson County, Kansas",Private,20179130
2,"Mcpherson County, Kansas",Private,20895468
1,"Marion County, Kansas",Local Government,5036524
2,"Marion County, Kansas",Local Government,6033338
1,"Marion County, Kansas",Private,4712091
2,"Marion County, Kansas",Private,5081726
1,"Marshall County, Kansas",Local Government,2436672
2,"Marshall County, Kansas",Local Government,2809712
1,"Marshall County, Kansas",Private,4259784
2,"Marshall County, Kansas",Private,4512589
1,"Meade County, Kansas",Local Government,2917622
2,"Meade County, Kansas",Local Government,3452663
1,"Meade County, Kansas",Private,0
2,"Meade County, Kansas",Private,0
1,"Miami County, Kansas",Federal Government,222005
2,"Miami County, Kansas",Federal Government,305137
1,"Miami County, Kansas",State Government,0
2,"Miami County, Kansas",State Government,0
1,"Miami County, Kansas",Local Government,9175617
2,"Miami County, Kansas",Local Government,10516912
1,"Miami County, Kansas",Private,13086718
2,"Miami County, Kansas",Private,12544974
1,"Mitchell County, Kansas",Local Government,5794787
2,"Mitchell County, Kansas",Local Government,6152529
1,"Mitchell County, Kansas",Private,2352677
2,"Mitchell County, Kansas",Private,2154368
1,"Montgomery County, Kansas",State Government,0
2,"Montgomery County, Kansas",State Government,0
1,"Montgomery County, Kansas",Local Government,11516476
2,"Montgomery County, Kansas",Local Government,12571676
1,"Montgomery County, Kansas",Private,17499021
2,"Montgomery County, Kansas",Private,18724956
1,"Morris County, Kansas",Local Government,2636969
2,"Morris County, Kansas",Local Government,2780439
1,"Morris County, Kansas",Private,948853
2,"Morris County, Kansas",Private,739725
1,"Morton County, Kansas",Local Government,2140731
2,"Morton County, Kansas",Local Government,2583121
1,"Morton County, Kansas",Private,351993
2,"Morton County, Kansas",Private,356065
1,"Nemaha County, Kansas",Local Government,0
2,"Nemaha County, Kansas",Local Government,3524730
1,"Nemaha County, Kansas",Private,7396045
2,"Nemaha County, Kansas",Private,6921407
1,"Neosho County, Kansas",Local Government,10457875
2,"Neosho County, Kansas",Local Government,10176293
1,"Neosho County, Kansas",Private,5794670
2,"Neosho County, Kansas",Private,6001240
1,"Ness County, Kansas",Local Government,2460360
2,"Ness County, Kansas",Local Government,2747801
1,"Ness County, Kansas",Private,124592
2,"Ness County, Kansas",Private,110575
1,"Norton County, Kansas",Local Government,2649824
2,"Norton County, Kansas",Local Government,2623161
1,"Norton County, Kansas",Private,2145004
2,"Norton County, Kansas",Private,2395483
1,"Osage County, Kansas",Local Government,5045242
2,"Osage County, Kansas",Local Government,6176849
1,"Osage County, Kansas",Private,2227306
2,"Osage County, Kansas",Private,2365659
1,"Osborne County, Kansas",Local Government,1388601
2,"Osborne County, Kansas",Local Government,1617957
1,"Osborne County, Kansas",Private,1016139
2,"Osborne County, Kansas",Private,1117571
1,"Ottawa County, Kansas",Local Government,0
2,"Ottawa County, Kansas",Local Government,0
1,"Ottawa County, Kansas",Private,1336331
2,"Ottawa County, Kansas",Private,1333558
1,"Pawnee County, Kansas",State Government,0
2,"Pawnee County, Kansas",State Government,0
1,"Pawnee County, Kansas",Local Government,0
2,"Pawnee County, Kansas",Local Government,0
1,"Pawnee County, Kansas",Private,2779543
2,"Pawnee County, Kansas",Private,3052189
1,"Phillips County, Kansas",Local Government,4266559
2,"Phillips County, Kansas",Local Government,4445277
1,"Phillips County, Kansas",Private,553252
2,"Phillips County, Kansas",Private,567267
1,"Pottawatomie County, Kansas",Local Government,5688671
2,"Pottawatomie County, Kansas",Local Government,6683018
1,"Pottawatomie County, Kansas",Private,9844561
2,"Pottawatomie County, Kansas",Private,9326331
1,"Pratt County, Kansas",Local Government,4779547
2,"Pratt County, Kansas",Local Government,5514383
1,"Pratt County, Kansas",Private,7773668
2,"Pratt County, Kansas",Private,8138529
1,"Rawlins County, Kansas",Local Government,0
2,"Rawlins County, Kansas",Local Government,0
1,"Rawlins County, Kansas",Private,645171
2,"Rawlins County, Kansas",Private,684414
1,"Reno County, Kansas",Federal Government,289103
2,"Reno County, Kansas",Federal Government,309434
1,"Reno County, Kansas",State Government,0
2,"Reno County, Kansas",State Government,0
1,"Reno County, Kansas",Local Government,23584734
2,"Reno County, Kansas",Local Government,28022827
1,"Reno County, Kansas",Private,40735286
2,"Reno County, Kansas",Private,45054274
1,"Republic County, Kansas",Local Government,1293349
2,"Republic County, Kansas",Local Government,1537014
1,"Republic County, Kansas",Private,2174089
2,"Republic County, Kansas",Private,2207105
1,"Rice County, Kansas",Local Government,5527379
2,"Rice County, Kansas",Local Government,5519142
1,"Rice County, Kansas",Private,2535810
2,"Rice County, Kansas",Private,2536863
1,"Riley County, Kansas",State Government,0
2,"Riley County, Kansas",State Government,0
1,"Riley County, Kansas",Local Government,12958256
2,"Riley County, Kansas",Local Government,18355989
1,"Riley County, Kansas",Private,36696155
2,"Riley County, Kansas",Private,36057407
1,"Rooks County, Kansas",Local Government,3007185
2,"Rooks County, Kansas",Local Government,3077188
1,"Rooks County, Kansas",Private,791837
2,"Rooks County, Kansas",Private,774217
1,"Rush County, Kansas",Local Government,1628925
2,"Rush County, Kansas",Local Government,1804069
1,"Rush County, Kansas",Private,600060
2,"Rush County, Kansas",Private,658165
1,"Russell County, Kansas",Local Government,0
2,"Russell County, Kansas",Local Government,0
1,"Russell County, Kansas",Private,2826180
2,"Russell County, Kansas",Private,3130173
1,"Saline County, Kansas",State Government,0
2,"Saline County, Kansas",State Government,0
1,"Saline County, Kansas",Local Government,18119896
2,"Saline County, Kansas",Local Government,19840763
1,"Saline County, Kansas",Private,74410600
2,"Saline County, Kansas",Private,68286457
1,"Scott County, Kansas",Local Government,4355959
2,"Scott County, Kansas",Local Government,0
1,"Scott County, Kansas",Private,1256494
2,"Scott County, Kansas",Private,1225813
1,"Sedgwick County, Kansas",Federal Government,25598084
2,"Sedgwick County, Kansas",Federal Government,29823081
1,"Sedgwick County, Kansas",State Government,0
2,"Sedgwick County, Kansas",State Government,0
1,"Sedgwick County, Kansas",Local Government,139522541
2,"Sedgwick County, Kansas",Local Government,191090711
1,"Sedgwick County, Kansas",Private,419880144
2,"Sedgwick County, Kansas",Private,418860503
1,"Seward County, Kansas",Local Government,17813466
2,"Seward County, Kansas",Local Government,17709234
1,"Seward County, Kansas",Private,4311733
2,"Seward County, Kansas",Private,4407716
1,"Shawnee County, Kansas",Federal Government,26212215
2,"Shawnee County, Kansas",Federal Government,31158768
1,"Shawnee County, Kansas",State Government,7778558
2,"Shawnee County, Kansas",State Government,7724968
1,"Shawnee County, Kansas",Local Government,62580888
2,"Shawnee County, Kansas",Local Government,72126578
1,"Shawnee County, Kansas",Private,205705957
2,"Shawnee County, Kansas",Private,186525171
1,"Sheridan County, Kansas",Local Government,2374812
2,"Sheridan County, Kansas",Local Government,2880538
1,"Sheridan County, Kansas",Private,0
2,"Sheridan County, Kansas",Private,0
1,"Sherman County, Kansas",Local Government,4123921
2,"Sherman County, Kansas",Local Government,4340380
1,"Sherman County, Kansas",Private,1187595
2,"Sherman County, Kansas",Private,1197070
1,"Smith County, Kansas",Local Government,0
2,"Smith County, Kansas",Local Government,0
1,"Smith County, Kansas",Private,2189345
2,"Smith County, Kansas",Private,2121446
1,"Stafford County, Kansas",Local Government,1767630
2,"Stafford County, Kansas",Local Government,2383764
1,"Stafford County, Kansas",Private,835117
2,"Stafford County, Kansas",Private,880045
1,"Stanton County, Kansas",Local Government,0
2,"Stanton County, Kansas",Local Government,0
1,"Stanton County, Kansas",Private,0
2,"Stanton County, Kansas",Private,0
1,"Stevens County, Kansas",Local Government,4009896
2,"Stevens County, Kansas",Local Government,5163938
1,"Stevens County, Kansas",Private,0
2,"Stevens County, Kansas",Private,0
1,"Sumner County, Kansas",Local Government,10442986
2,"Sumner County, Kansas",Local Government,12820264
1,"Sumner County, Kansas",Private,6162393
2,"Sumner County, Kansas",Private,6796525
1,"Thomas County, Kansas",Local Government,2747880
2,"Thomas County, Kansas",Local Government,3089526
1,"Thomas County, Kansas",Private,6797186
2,"Thomas County, Kansas",Private,6149875
1,"Trego County, Kansas",State Government,0
2,"Trego County, Kansas",State Government,0
1,"Trego County, Kansas",Local Government,0
2,"Trego County, Kansas",Local Government,2548265
1,"Trego County, Kansas",Private,98928
2,"Trego County, Kansas",Private,99951
1,"Wabaunsee County, Kansas",Local Government,1778270
2,"Wabaunsee County, Kansas",Local Government,2326454
1,"Wabaunsee County, Kansas",Private,749555
2,"Wabaunsee County, Kansas",Private,675818
1,"Wallace County, Kansas",Local Government,803340
2,"Wallace County, Kansas",Local Government,1053031
1,"Wallace County, Kansas",Private,10852
2,"Wallace County, Kansas",Private,13393
1,"Washington County, Kansas",Local Government,2984514
2,"Washington County, Kansas",Local Government,3236013
1,"Washington County, Kansas",Private,875497
2,"Washington County, Kansas",Private,917479
1,"Wichita County, Kansas",Local Government,1770116
2,"Wichita County, Kansas",Local Government,1952805
1,"Wichita County, Kansas",Private,101161
2,"Wichita County, Kansas",Private,122777
1,"Wilson County, Kansas",Local Government,5683709
2,"Wilson County, Kansas",Local Government,6268533
1,"Wilson County, Kansas",Private,2255060
2,"Wilson County, Kansas",Private,2341357
1,"Woodson County, Kansas",Local Government,0
2,"Woodson County, Kansas",Local Government,0
1,"Woodson County, Kansas",Private,611604
2,"Woodson County, Kansas",Private,555268
1,"Wyandotte County, Kansas",Federal Government,95328
2,"Wyandotte County, Kansas",Federal Government,99806
1,"Wyandotte County, Kansas",State Government,0
2,"Wyandotte County, Kansas",State Government,0
1,"Wyandotte County, Kansas",Local Government,66554326
2,"Wyandotte County, Kansas",Local Government,72619062
1,"Wyandotte County, Kansas",Private,162950633
2,"Wyandotte County, Kansas",Private,180806747
1,"Unknown Or Undefined, Kansas",Federal Government,468241
2,"Unknown Or Undefined, Kansas",Federal Government,484769
1,"Unknown Or Undefined, Kansas",Local Government,0
2,"Unknown Or Undefined, Kansas",Local Government,0
1,"Unknown Or Undefined, Kansas",Private,35337880
2,"Unknown Or Undefined, Kansas",Private,34385935
1,Kentucky -- Statewide,Federal Government,129189729
2,Kentucky -- Statewide,Federal Government,134252012
1,Kentucky -- Statewide,State Government,706686859
2,Kentucky -- Statewide,State Government,773820131
1,Kentucky -- Statewide,Local Government,1146615589
2,Kentucky -- Statewide,Local Government,1615316306
1,Kentucky -- Statewide,Private,3207910576
2,Kentucky -- Statewide,Private,3288299089
1,"Adair County, Kentucky",State Government,848993
2,"Adair County, Kentucky",State Government,841641
1,"Adair County, Kentucky",Local Government,0
2,"Adair County, Kentucky",Local Government,0
1,"Adair County, Kentucky",Private,9610248
2,"Adair County, Kentucky",Private,9684850
1,"Allen County, Kentucky",State Government,0
2,"Allen County, Kentucky",State Government,0
1,"Allen County, Kentucky",Local Government,0
2,"Allen County, Kentucky",Local Government,0
1,"Allen County, Kentucky",Private,3434105
2,"Allen County, Kentucky",Private,3641910
1,"Anderson County, Kentucky",State Government,394037
2,"Anderson County, Kentucky",State Government,423497
1,"Anderson County, Kentucky",Local Government,0
2,"Anderson County, Kentucky",Local Government,0
1,"Anderson County, Kentucky",Private,2609497
2,"Anderson County, Kentucky",Private,2712246
1,"Ballard County, Kentucky",State Government,0
2,"Ballard County, Kentucky",State Government,0
1,"Ballard County, Kentucky",Local Government,0
2,"Ballard County, Kentucky",Local Government,0
1,"Ballard County, Kentucky",Private,1168299
2,"Ballard County, Kentucky",Private,1071533
1,"Barren County, Kentucky",State Government,1983970
2,"Barren County, Kentucky",State Government,2023291
1,"Barren County, Kentucky",Local Government,0
2,"Barren County, Kentucky",Local Government,15738168
1,"Barren County, Kentucky",Private,27365786
2,"Barren County, Kentucky",Private,30516995
1,"Bath County, Kentucky",State Government,0
2,"Bath County, Kentucky",State Government,0
1,"Bath County, Kentucky",Local Government,0
2,"Bath County, Kentucky",Local Government,0
1,"Bath County, Kentucky",Private,1359587
2,"Bath County, Kentucky",Private,1464136
1,"Bell County, Kentucky",State Government,1547317
2,"Bell County, Kentucky",State Government,1596546
1,"Bell County, Kentucky",Local Government,6408793
2,"Bell County, Kentucky",Local Government,9380956
1,"Bell County, Kentucky",Private,12801862
2,"Bell County, Kentucky",Private,12560337
1,"Boone County, Kentucky",Federal Government,637784
2,"Boone County, Kentucky",Federal Government,773324
1,"Boone County, Kentucky",State Government,0
2,"Boone County, Kentucky",State Government,0
1,"Boone County, Kentucky",Local Government,0
2,"Boone County, Kentucky",Local Government,0
1,"Boone County, Kentucky",Private,67964308
2,"Boone County, Kentucky",Private,68700167
1,"Bourbon County, Kentucky",State Government,0
2,"Bourbon County, Kentucky",State Government,0
1,"Bourbon County, Kentucky",Local Government,0
2,"Bourbon County, Kentucky",Local Government,0
1,"Bourbon County, Kentucky",Private,6317599
2,"Bourbon County, Kentucky",Private,7049471
1,"Boyd County, Kentucky",State Government,3780311
2,"Boyd County, Kentucky",State Government,3888207
1,"Boyd County, Kentucky",Local Government,11593967
2,"Boyd County, Kentucky",Local Government,15365234
1,"Boyd County, Kentucky",Private,74723046
2,"Boyd County, Kentucky",Private,71610442
1,"Boyle County, Kentucky",State Government,0
2,"Boyle County, Kentucky",State Government,0
1,"Boyle County, Kentucky",Local Government,0
2,"Boyle County, Kentucky",Local Government,0
1,"Boyle County, Kentucky",Private,42040913
2,"Boyle County, Kentucky",Private,46609032
1,"Bracken County, Kentucky",State Government,0
2,"Bracken County, Kentucky",State Government,0
1,"Bracken County, Kentucky",Local Government,2202009
2,"Bracken County, Kentucky",Local Government,3001999
1,"Bracken County, Kentucky",Private,1046069
2,"Bracken County, Kentucky",Private,983402
1,"Breathitt County, Kentucky",State Government,1469211
2,"Breathitt County, Kentucky",State Government,1471733
1,"Breathitt County, Kentucky",Local Government,0
2,"Breathitt County, Kentucky",Local Government,0
1,"Breathitt County, Kentucky",Private,8889016
2,"Breathitt County, Kentucky",Private,9631335
1,"Breckinridge County, Kentucky",State Government,0
2,"Breckinridge County, Kentucky",State Government,0
1,"Breckinridge County, Kentucky",Local Government,0
2,"Breckinridge County, Kentucky",Local Government,0
1,"Breckinridge County, Kentucky",Private,4042136
2,"Breckinridge County, Kentucky",Private,4576393
1,"Bullitt County, Kentucky",State Government,724014
2,"Bullitt County, Kentucky",State Government,715444
1,"Bullitt County, Kentucky",Local Government,0
2,"Bullitt County, Kentucky",Local Government,0
1,"Bullitt County, Kentucky",Private,12162729
2,"Bullitt County, Kentucky",Private,13219553
1,"Butler County, Kentucky",State Government,643722
2,"Butler County, Kentucky",State Government,630980
1,"Butler County, Kentucky",Local Government,0
2,"Butler County, Kentucky",Local Government,0
1,"Butler County, Kentucky",Private,2690972
2,"Butler County, Kentucky",Private,2569497
1,"Caldwell County, Kentucky",State Government,289244
2,"Caldwell County, Kentucky",State Government,284417
1,"Caldwell County, Kentucky",Local Government,0
2,"Caldwell County, Kentucky",Local Government,0
1,"Caldwell County, Kentucky",Private,4114040
2,"Caldwell County, Kentucky",Private,4252441
1,"Calloway County, Kentucky",State Government,0
2,"Calloway County, Kentucky",State Government,0
1,"Calloway County, Kentucky",Local Government,19667256
2,"Calloway County, Kentucky",Local Government,23209802
1,"Calloway County, Kentucky",Private,6031404
2,"Calloway County, Kentucky",Private,6298571
1,"Campbell County, Kentucky",Federal Government,2760964
2,"Campbell County, Kentucky",Federal Government,3303043
1,"Campbell County, Kentucky",State Government,0
2,"Campbell County, Kentucky",State Government,0
1,"Campbell County, Kentucky",Local Government,18556229
2,"Campbell County, Kentucky",Local Government,26755854
1,"Campbell County, Kentucky",Private,51934336
2,"Campbell County, Kentucky",Private,47753562
1,"Carlisle County, Kentucky",State Government,0
2,"Carlisle County, Kentucky",State Government,0
1,"Carlisle County, Kentucky",Local Government,0
2,"Carlisle County, Kentucky",Local Government,0
1,"Carlisle County, Kentucky",Private,1193125
2,"Carlisle County, Kentucky",Private,1158194
1,"Carroll County, Kentucky",Federal Government,409441
2,"Carroll County, Kentucky",Federal Government,428325
1,"Carroll County, Kentucky",State Government,467386
2,"Carroll County, Kentucky",State Government,470228
1,"Carroll County, Kentucky",Local Government,0
2,"Carroll County, Kentucky",Local Government,0
1,"Carroll County, Kentucky",Private,4122220
2,"Carroll County, Kentucky",Private,4344086
1,"Carter County, Kentucky",State Government,0
2,"Carter County, Kentucky",State Government,0
1,"Carter County, Kentucky",Local Government,0
2,"Carter County, Kentucky",Local Government,0
1,"Carter County, Kentucky",Private,4188468
2,"Carter County, Kentucky",Private,4000056
1,"Casey County, Kentucky",State Government,305039
2,"Casey County, Kentucky",State Government,291480
1,"Casey County, Kentucky",Local Government,0
2,"Casey County, Kentucky",Local Government,0
1,"Casey County, Kentucky",Private,4779174
2,"Casey County, Kentucky",Private,5210251
1,"Christian County, Kentucky",Federal Government,26588181
2,"Christian County, Kentucky",Federal Government,24986640
1,"Christian County, Kentucky",State Government,5035762
2,"Christian County, Kentucky",State Government,5147786
1,"Christian County, Kentucky",Local Government,0
2,"Christian County, Kentucky",Local Government,0
1,"Christian County, Kentucky",Private,49328454
2,"Christian County, Kentucky",Private,48849161
1,"Clark County, Kentucky",State Government,0
2,"Clark County, Kentucky",State Government,0
1,"Clark County, Kentucky",Local Government,0
2,"Clark County, Kentucky",Local Government,0
1,"Clark County, Kentucky",Private,19663766
2,"Clark County, Kentucky",Private,17933979
1,"Clay County, Kentucky",State Government,0
2,"Clay County, Kentucky",State Government,0
1,"Clay County, Kentucky",Local Government,0
2,"Clay County, Kentucky",Local Government,0
1,"Clay County, Kentucky",Private,9353276
2,"Clay County, Kentucky",Private,10486622
1,"Clinton County, Kentucky",State Government,305354
2,"Clinton County, Kentucky",State Government,304989
1,"Clinton County, Kentucky",Local Government,0
2,"Clinton County, Kentucky",Local Government,0
1,"Clinton County, Kentucky",Private,5004635
2,"Clinton County, Kentucky",Private,6206503
1,"Crittenden County, Kentucky",State Government,0
2,"Crittenden County, Kentucky",State Government,0
1,"Crittenden County, Kentucky",Local Government,0
2,"Crittenden County, Kentucky",Local Government,0
1,"Crittenden County, Kentucky",Private,3257033
2,"Crittenden County, Kentucky",Private,2952535
1,"Cumberland County, Kentucky",State Government,0
2,"Cumberland County, Kentucky",State Government,0
1,"Cumberland County, Kentucky",Local Government,0
2,"Cumberland County, Kentucky",Local Government,0
1,"Cumberland County, Kentucky",Private,7710535
2,"Cumberland County, Kentucky",Private,9237134
1,"Daviess County, Kentucky",Federal Government,513499
2,"Daviess County, Kentucky",Federal Government,573342
1,"Daviess County, Kentucky",State Government,4112999
2,"Daviess County, Kentucky",State Government,4238527
1,"Daviess County, Kentucky",Local Government,0
2,"Daviess County, Kentucky",Local Government,0
1,"Daviess County, Kentucky",Private,111726722
2,"Daviess County, Kentucky",Private,110034473
1,"Edmonson County, Kentucky",State Government,0
2,"Edmonson County, Kentucky",State Government,0
1,"Edmonson County, Kentucky",Local Government,0
2,"Edmonson County, Kentucky",Local Government,0
1,"Edmonson County, Kentucky",Private,1247256
2,"Edmonson County, Kentucky",Private,1423834
1,"Elliott County, Kentucky",State Government,0
2,"Elliott County, Kentucky",State Government,0
1,"Elliott County, Kentucky",Local Government,0
2,"Elliott County, Kentucky",Local Government,0
1,"Elliott County, Kentucky",Private,1135048
2,"Elliott County, Kentucky",Private,1059226
1,"Estill County, Kentucky",State Government,0
2,"Estill County, Kentucky",State Government,0
1,"Estill County, Kentucky",Local Government,0
2,"Estill County, Kentucky",Local Government,0
1,"Estill County, Kentucky",Private,4868223
2,"Estill County, Kentucky",Private,5151100
1,"Fayette County, Kentucky",Federal Government,43177236
2,"Fayette County, Kentucky",Federal Government,43911236
1,"Fayette County, Kentucky",State Government,329563083
2,"Fayette County, Kentucky",State Government,389887728
1,"Fayette County, Kentucky",Local Government,0
2,"Fayette County, Kentucky",Local Government,0
1,"Fayette County, Kentucky",Private,342257809
2,"Fayette County, Kentucky",Private,353994588
1,"Fleming County, Kentucky",State Government,0
2,"Fleming County, Kentucky",State Government,0
1,"Fleming County, Kentucky",Local Government,0
2,"Fleming County, Kentucky",Local Government,0
1,"Fleming County, Kentucky",Private,5180130
2,"Fleming County, Kentucky",Private,5226810
1,"Floyd County, Kentucky",Federal Government,660327
2,"Floyd County, Kentucky",Federal Government,750837
1,"Floyd County, Kentucky",State Government,2715779
2,"Floyd County, Kentucky",State Government,2819024
1,"Floyd County, Kentucky",Local Government,0
2,"Floyd County, Kentucky",Local Government,0
1,"Floyd County, Kentucky",Private,26224278
2,"Floyd County, Kentucky",Private,24606485
1,"Franklin County, Kentucky",State Government,9804281
2,"Franklin County, Kentucky",State Government,11281500
1,"Franklin County, Kentucky",Local Government,0
2,"Franklin County, Kentucky",Local Government,0
1,"Franklin County, Kentucky",Private,32404117
2,"Franklin County, Kentucky",Private,34882040
1,"Fulton County, Kentucky",State Government,0
2,"Fulton County, Kentucky",State Government,0
1,"Fulton County, Kentucky",Local Government,0
2,"Fulton County, Kentucky",Local Government,0
1,"Fulton County, Kentucky",Private,971101
2,"Fulton County, Kentucky",Private,1065523
1,"Gallatin County, Kentucky",State Government,0
2,"Gallatin County, Kentucky",State Government,0
1,"Gallatin County, Kentucky",Local Government,0
2,"Gallatin County, Kentucky",Local Government,0
1,"Gallatin County, Kentucky",Private,0
2,"Gallatin County, Kentucky",Private,0
1,"Garrard County, Kentucky",State Government,267880
2,"Garrard County, Kentucky",State Government,259776
1,"Garrard County, Kentucky",Local Government,0
2,"Garrard County, Kentucky",Local Government,0
1,"Garrard County, Kentucky",Private,1999015
2,"Garrard County, Kentucky",Private,2055601
1,"Grant County, Kentucky",State Government,332585
2,"Grant County, Kentucky",State Government,313928
1,"Grant County, Kentucky",Local Government,0
2,"Grant County, Kentucky",Local Government,0
1,"Grant County, Kentucky",Private,7773764
2,"Grant County, Kentucky",Private,7028010
1,"Graves County, Kentucky",Federal Government,563070
2,"Graves County, Kentucky",Federal Government,636339
1,"Graves County, Kentucky",State Government,0
2,"Graves County, Kentucky",State Government,0
1,"Graves County, Kentucky",Local Government,0
